,0,1,2,3,4,5
0,4.41472128225554,0.63,0.724,0.175,8,2.7423812296902224
1,4.416845480656981,0.73,0.349,0.169,8,2.2625435908227503
2,4.4485867418765705,0.6,0.918,0.137,9,3.171187597619884
3,4.4485867418765705,0.7,0.505,0.157,9,2.598726252562474
4,4.4485867418765705,0.8,0.44,0.17,9,2.127848045400382
5,4.4485867418765705,0.9,0.372,0.197,9,1.7439958487529266
6,4.446477707129543,1.05,0.649,0.2,9,1.2928610798152465
7,4.4801031238131115,0.57,0.738,0.108,10,3.63793411915698
8,4.4801031238131115,0.67,0.885,0.152,10,2.977614060301077
9,4.4801031238131115,0.77,1.071,0.195,10,2.434775052704844
10,4.4801031238131115,0.87,0.75,0.205,10,1.9928081904298183
11,4.478008932550269,0.97,0.551,0.206,10,1.626667264516955
12,4.4801031238131115,1.12,0.248,0.122,10,1.2205193932195997
13,4.51139933945112,0.54,0.975,0.125,11,4.163920777407835
14,4.51139933945112,0.64,0.602,0.132,11,3.404235812960036
15,4.51139933945112,0.74,0.607,0.15,11,2.779884651793711
16,4.51139933945112,0.84,0.443,0.163,11,2.2721081510955696
17,4.51139933945112,0.94,0.491,0.185,11,1.8610260501052551
18,4.51139933945112,1.09,0.38,0.125,11,1.3870444887610645
19,4.5486705750141985,0.51,0.971,0.148,12,4.824534055674419
20,4.5486705750141985,0.61,0.77,0.169,12,3.9386202722797097
21,4.54660796638549,0.71,0.719,0.189,12,3.19662038787455
22,4.54660796638549,0.81,1.064,0.259,12,2.608742451439312
23,4.54660796638549,0.91,0.437,0.21,12,2.1336082310440654
24,4.54660796638549,1.06,0.584,0.163,12,1.5869662294015285
25,4.544544421611477,1.26,0.22,0.136,12,1.0776858760702115
26,4.252383331732923,0.87,0.227,0.064,3,1.0931480931327573
27,4.254588581754997,0.96,0.257,0.112,3,0.9260952145975326
28,4.254588581754997,1.06,0.387,0.165,3,0.7647910986572957
29,4.287531224376098,0.8,0.232,0.05,4,1.3889601643437126
30,4.287531224376098,0.92,0.312,0.062,4,1.1018487927038223
31,4.287531224376098,1.07,0.131,0.07,4,0.8256199893613357
32,4.287531224376098,1.25,0.326,0.131,4,0.586910288042474
33,4.320222679446049,0.75,0.405,0.056,5,1.6808757636498721
34,4.320222679446049,0.85,0.402,0.075,5,1.3842255762396027
35,4.320222679446049,0.95,0.46,0.094,5,1.139760261019226
36,4.320222679446049,1.1,0.395,0.076,5,0.8535717178868368
37,4.320222679446049,1.3,0.409,0.126,5,0.5849545473645803
38,4.35266860672852,0.71,0.525,0.074,6,1.9883955682178234
39,4.35266860672852,0.81,0.575,0.094,6,1.6353831369533418
40,4.35266860672852,0.91,0.49,0.104,6,1.3446719633342392
41,4.35266860672852,1.03,0.39,0.087,6,1.0648293492984517
42,4.35266860672852,1.18,0.361,0.105,6,0.7988301757842068
43,4.35266860672852,1.36,0.29,0.112,6,0.5702857895337806
44,4.3848744565836775,0.67,0.691,0.118,7,2.344844728813653
45,4.3848744565836775,0.77,0.46,0.12,7,1.9261914498071673
46,4.3848744565836775,0.87,0.601,0.141,7,1.5815504889488787
47,4.3848744565836775,0.99,0.358,0.107,7,1.2502240920523238
48,4.3848744565836775,1.17,0.344,0.107,7,0.8839273401927349
49,4.3848744565836775,1.43,0.194,0.092,7,0.5444647048394521
50,4.416845480656981,0.68,0.75,0.163,8,2.4983591458253502
51,4.416845480656981,0.88,0.573,0.148,8,1.680283645537634
52,4.416845480656981,1.1,0.437,0.138,8,1.0934883537375006
53,4.169969304443379,1.93,0.156,0.06,1,0.12010121906059575
54,4.21471754688259,2.24,0.069,0.034,2,0.08270618384194739
55,4.21471754688259,2.64,0.031,0.031,2,0.04331848422563808
56,4.254588581754997,2.34,0.053,0.04,3,0.07991616675835392
57,4.252383331732923,2.87,0.051,0.033,3,0.034505895958831696
58,4.285342926767939,2.61,0.086,0.04,4,0.05735507992709521
59,4.287531224376098,3.15,0.064,0.037,4,0.025538145012912638
60,4.320222679446049,2.73,0.047,0.04,5,0.05307464176386062
61,4.318050949213082,3.29,0.036,0.025,5,0.02305161480826081
62,4.350513073190333,2.99,0.089,0.045,6,0.03942751326090931
63,4.350513073190333,3.54,0.03,0.022,6,0.01798607326257339
64,4.382734762679576,3.18,0.021,0.029,7,0.032959603461552814
65,4.382734762679576,3.76,0.025,0.021,7,0.014748923964693215
66,4.41472128225554,3.33,0.074,0.049,8,0.029278332673888074
67,4.416845480656981,3.92,0.01,0.015,8,0.013259551693565658
68,4.4485867418765705,3.67,0.014,0.023,9,0.020305981390312568
69,4.4485867418765705,4.29,0.019,0.016,9,0.009066335352590717
70,4.4801031238131115,4.49,0.002,0.009,10,0.007780454891301646
71,4.513478038054467,4.25,0.073,0.061,11,0.011575754435385147
72,4.51139933945112,4.74,0.027,0.024,11,0.00631013525870464
73,4.542479939416354,4.54,0.014,0.034,12,0.008808906210622741
74,4.254588581754997,0.98,0.415,0.288,3,0.8912627444098733
75,4.254588581754997,1.13,0.295,0.212,3,0.6693826641750314
76,4.287531224376098,1.02,0.403,0.147,4,0.908716508126683
77,4.285342926767939,1.28,0.221,0.09,4,0.5514423015175498
78,4.287531224376098,1.54,0.269,0.103,4,0.34435877317133934
79,4.320222679446049,1.14,0.417,0.117,5,0.7908189080564417
80,4.320222679446049,1.44,0.173,0.07,5,0.4518305758516857
81,4.318050949213082,1.75,0.124,0.073,5,0.2585366172047087
82,4.35266860672852,1.2,0.389,0.135,6,0.7691270307858139
83,4.35266860672852,1.54,0.25,0.062,6,0.4109639854600715
84,4.35266860672852,1.97,0.095,0.048,6,0.19505984783222885
85,4.3848744565836775,1.43,0.298,0.089,7,0.5444647048394521
86,4.3848744565836775,1.78,0.101,0.047,7,0.292855940939564
87,4.3848744565836775,2.15,0.043,0.042,7,0.15784820590193277
88,4.41472128225554,1.71,0.102,0.051,8,0.35608456709915953
89,4.41472128225554,2.27,0.106,0.041,8,0.1406178318528072
90,4.446477707129543,1.75,0.325,0.086,9,0.35875027010388627
91,4.446477707129543,2.35,0.116,0.043,9,0.1342798072154518
92,4.4801031238131115,1.99,0.213,0.076,10,0.25920597852973254
93,4.4801031238131115,2.61,0.097,0.042,10,0.09803443507214565
94,4.51139933945112,2.11,0.167,0.085,11,0.22913448245141527
95,4.51139933945112,2.73,0.043,0.034,11,0.08853862060792743
96,4.54660796638549,2.52,0.06,0.046,12,0.13123384978500352
97,4.245760709225144,0.92,0.313,0.151208465,G1,0.9734856972646567
98,4.205805986966113,1.25,0.17,0.019697716,G1,0.45991882010724894
99,4.169969304443379,1.72,0.097,0.041231056,G1,0.17359191948324257
100,4.163215584136857,2.24,0.045,0.007615773,G1,0.0691555043876603
101,4.165468040928894,2.94,0.018,0.009486833,G1,0.02240409166847718
102,4.20357514504023,3.92,0.03,0.007211103,G1,0.005926446860189068
103,4.236914443318391,4.95,0.033,0.017691806,G1,0.0015282290806971827
104,4.4316863607435035,0.69,0.813,0.127310644,G2,2.5426603406744195
105,4.399823178265235,0.87,0.499,0.06306346,G2,1.6426837596601411
106,4.395557302549928,1.21,0.401,0.038327536,G2,0.8414385393692526
107,4.395557302549928,1.71,0.231,0.027658633,G2,0.33957998634927655
108,4.3934228114307405,2.24,0.12,0.022135944,G2,0.1396239958895946
109,4.397690757659069,2.97,0.075,0.012083046,G2,0.04652569917399525
110,4.401954565871846,3.89,0.026,0.01,G2,0.013168229651824946
111,4.380594023645651,5.06,0.019,0.005385165,G2,0.0026709446741082334
112,4.416845480656981,6.37,0.009,0.005,G2,0.0005857472825363053
113,4.63042157907895,0.46,1.611,0.233002146,G3,6.405260555473269
114,4.612153943657995,0.6,1.15,0.137611773,G3,4.615667626367268
115,4.608084634639429,0.88,1.015,0.091923882,G3,2.5776740862538716
116,4.610119738141298,1.18,0.529,0.04788528,G3,1.4363118563899742
117,4.610119738141298,1.69,0.242,0.030083218,G3,0.5697026737912936
118,4.604011728916424,2.24,0.17,0.025179357,G3,0.22841339897087812
119,4.601973924306829,2.87,0.072,0.014422205,G3,0.0891659411019598
