,0,1,2,3,4,5
0,4.41472128225554,0.63,0.724,0.175,8,0.9145312272258703
1,4.416845480656981,0.73,0.349,0.169,8,0.7440334047797038
2,4.4485867418765705,0.6,0.918,0.137,9,1.0618123601096054
3,4.4485867418765705,0.7,0.505,0.157,9,0.8579789778370694
4,4.4485867418765705,0.8,0.44,0.17,9,0.6915182288001116
5,4.4485867418765705,0.9,0.372,0.197,9,0.557387383151211
6,4.446477707129543,1.05,0.649,0.2,9,0.40275353180886114
7,4.4801031238131115,0.57,0.738,0.108,10,1.2232836314088482
8,4.4801031238131115,0.67,0.885,0.152,10,0.98723466666845
9,4.4801031238131115,0.77,1.071,0.195,10,0.7944954369779221
10,4.4801031238131115,0.87,0.75,0.205,10,0.6393664903965238
11,4.478008932550269,0.97,0.551,0.206,10,0.5129519989345036
12,4.4801031238131115,1.12,0.248,0.122,10,0.37486625042977134
13,4.51139933945112,0.54,0.975,0.125,11,1.4063639336490028
14,4.51139933945112,0.64,0.602,0.132,11,1.1337240547041174
15,4.51139933945112,0.74,0.607,0.15,11,0.9110529781483988
16,4.51139933945112,0.84,0.443,0.163,11,0.73200001532624
17,4.51139933945112,0.94,0.491,0.185,11,0.5890858594911055
18,4.51139933945112,1.09,0.38,0.125,11,0.42750058860326473
19,4.5486705750141985,0.51,0.971,0.148,12,1.6372394238103805
20,4.5486705750141985,0.61,0.77,0.169,12,1.3178557397108532
21,4.54660796638549,0.71,0.719,0.189,12,1.052379979419171
22,4.54660796638549,0.81,1.064,0.259,12,0.8440697487692284
23,4.54660796638549,0.91,0.437,0.21,12,0.6780922844918584
24,4.54660796638549,1.06,0.584,0.163,12,0.4908755951270875
25,4.544544421611477,1.26,0.22,0.136,12,0.3217354848100618
26,4.252383331732923,0.87,0.227,0.064,3,0.35497675894607694
27,4.254588581754997,0.96,0.257,0.112,3,0.2969136626389931
28,4.254588581754997,1.06,0.387,0.165,3,0.24161789550860646
29,4.287531224376098,0.8,0.232,0.05,4,0.4542737818878772
30,4.287531224376098,0.92,0.312,0.062,4,0.35433860932720096
31,4.287531224376098,1.07,0.131,0.07,4,0.2595401538284773
32,4.287531224376098,1.25,0.326,0.131,4,0.1794123670609542
33,4.320222679446049,0.75,0.405,0.056,5,0.5526295697516672
34,4.320222679446049,0.85,0.402,0.075,5,0.44878376932709774
35,4.320222679446049,0.95,0.46,0.094,5,0.3639856204995015
36,4.320222679446049,1.1,0.395,0.076,5,0.26622463395874246
37,4.320222679446049,1.3,0.409,0.126,5,0.1767371023011533
38,4.35266860672852,0.71,0.525,0.074,6,0.6566047571378422
39,4.35266860672852,0.81,0.575,0.094,6,0.5324973179374307
40,4.35266860672852,0.91,0.49,0.104,6,0.43118357115549594
41,4.35266860672852,1.03,0.39,0.087,6,0.3349509497683444
42,4.35266860672852,1.18,0.361,0.105,6,0.24521772078934512
43,4.35266860672852,1.36,0.29,0.112,6,0.17005952918666087
44,4.3848744565836775,0.67,0.691,0.118,7,0.7780088765259839
